,created_at,screen_name,text,converted_time,compound,neg,pos,neu
11,Mon Dec 11 02:30:44 +0000 2017,CNN,3-D printing braces up sea turtle with gap in its shell https://t.co/mhGanIyPvv https://t.co/sfqprWjpiv,2017-12-11 02:30:44+00:00,0.0,0.0,0.0,1.0
10,Mon Dec 11 02:36:11 +0000 2017,CNN,"""Mutual destruction is only one impulsive tantrum away."" 2017 Nobel Peace Prize winners urge world leaders to prohi… https://t.co/cdt0zVvUGy",2017-12-11 02:36:11+00:00,0.5267,0.214,0.326,0.461
9,Mon Dec 11 02:47:04 +0000 2017,CNN,"""Time is of the essence,"" UN official says after visit to North Korea https://t.co/Ndbay5jZKB https://t.co/Ik94KKGF5X",2017-12-11 02:47:04+00:00,0.0,0.0,0.0,1.0
8,Mon Dec 11 02:56:52 +0000 2017,CNN,"Sunday was a tale of two campaigns for Alabama’s special Senate election, with Democratic candidate Doug Jones barn… https://t.co/jL6LWnNYrp",2017-12-11 02:56:52+00:00,0.4019,0.0,0.137,0.863
7,Mon Dec 11 03:01:13 +0000 2017,CNN,Voting for CNN Hero of the Year CLOSES Tuesday 12/12 at 11:59pm PT -- VOTE NOW at https://t.co/ANMKKkTX4Z!… https://t.co/dx1AFkowA7,2017-12-11 03:01:13+00:00,0.5983,0.0,0.178,0.822
6,Mon Dec 11 03:05:48 +0000 2017,CNN,The revelation that a black hole grew in just five hundred million years challenges our models of how early galaxie… https://t.co/A6dhPi6bDe,2017-12-11 03:05:48+00:00,0.0772,0.0,0.064,0.936
5,Mon Dec 11 03:17:04 +0000 2017,CNN,"Global arms sales increased for the first time in five years in 2016, a new report says https://t.co/thhQ2sqH3c https://t.co/mjSUBUVzic",2017-12-11 03:17:04+00:00,0.2732,0.0,0.11,0.89
4,Mon Dec 11 03:25:06 +0000 2017,CNN,"Heavy snow fell in many parts of the UK on Sunday as Storm Caroline, the biggest storm so far this year, caused wid… https://t.co/R9UCEICrxm",2017-12-11 03:25:06+00:00,0.0,0.0,0.0,1.0
3,Mon Dec 11 03:30:12 +0000 2017,CNN,These are the most eye-catching photos from 2017 https://t.co/lXgXsyNfa6 https://t.co/Z6N0yRLk60,2017-12-11 03:30:12+00:00,0.0,0.0,0.0,1.0
2,Mon Dec 11 03:40:30 +0000 2017,CNN,Venezuelan President Nicolas Maduro has said that some of the main opposition parties will not be allowed to run in… https://t.co/VmN9pU5gEC,2017-12-11 03:40:30+00:00,0.4019,0.0,0.119,0.881
1,Mon Dec 11 03:50:08 +0000 2017,CNN,McLaren's 'most extreme' road car costs $1 million https://t.co/a1Unk82nwx https://t.co/yvlL9LCdSq,2017-12-11 03:50:08+00:00,0.0,0.0,0.0,1.0
0,Mon Dec 11 04:00:21 +0000 2017,CNN,Democratic lawmakers have asked the Treasury Department for documents on financial dealings with Russia… https://t.co/pBmTUHxsAz,2017-12-11 04:00:21+00:00,0.2023,0.0,0.114,0.886
